date,price
2017-02-15,1500.0
2017-03-15,1521.6
2017-04-15,1916.6666666666667
2017-05-15,2105.6666666666665
2017-06-15,1550.0
2017-07-15,2137.6666666666665
2017-08-15,2080.0
2017-09-15,2016.6666666666667
2017-10-15,1915.0333333333333
2017-11-15,1813.4
2017-12-15,1225.0
2018-01-15,1940.0
2018-02-15,2100.0
2018-03-15,2500.0
2018-04-15,1900.0
2018-05-15,1433.3333333333333
2018-06-15,1850.0
2018-07-15,1631.65
2018-08-15,1413.3
2018-09-15,1194.95
2018-10-15,976.6
2018-11-15,1040.4
2018-12-15,879.8
2019-01-15,960.5555555555555
2019-02-15,1098.9
2019-03-15,1028.0
2019-04-15,1069.05
2019-05-15,1303.6736363636364
2019-06-15,1533.37
2019-07-15,1326.638888888889
2019-08-15,1300.7216666666666
2019-09-15,1422.3814285714286
2019-10-15,990.1785714285714
2019-11-15,1186.1116666666667
2019-12-15,1241.9275
2020-01-15,1056.9444444444443
2020-02-15,1260.9375
2020-03-15,1213.2110227272728
2020-04-15,1165.4845454545455
2020-05-15,1193.77125
2020-06-15,1268.375
2020-07-15,1273.375
2020-08-15,1215.0
2020-09-15,1277.6666666666667
2020-10-15,1457.142857142857
2020-11-15,1602.6
2020-12-15,1477.0555555555557
2021-01-15,1541.8125
2021-02-15,1170.375
2021-03-15,1278.923076923077
2021-04-15,1261.0
2021-05-15,1201.7777777777778
2021-06-15,1326.4375
2021-07-15,1282.1764705882354
2021-08-15,1260.8235294117646
2021-09-15,1446.25
2021-10-15,1325.8125
2021-11-15,1398.642857142857
2021-12-15,1248.1333333333334
