date,price
2017-02-15,2740.195714285714
2017-03-15,2836.8416666666667
2017-04-15,3052.79
2017-05-15,3087.6683333333335
2017-06-15,2361.366
2017-07-15,2450.09125
2017-08-15,2522.64875
2017-09-15,2534.8014285714285
2017-10-15,2404.54
2017-11-15,2310.4528571428573
2017-12-15,2276.095
2018-01-15,2492.207142857143
2018-02-15,2261.414285714286
2018-03-15,2386.58
2018-04-15,2405.085714285714
2018-05-15,2141.0125
2018-06-15,2247.7357142857145
2018-07-15,1639.1999999999998
2018-08-15,1620.14
2018-09-15,1767.1966666666667
2018-10-15,2180.6566666666668
2018-11-15,2219.9935714285716
2018-12-15,2307.042857142857
2019-01-15,2376.9866666666667
2019-02-15,2541.6491666666666
2019-03-15,2555.375555555556
2019-04-15,3079.579090909091
2019-05-15,3441.6776923076923
2019-06-15,3216.315714285714
2019-07-15,3158.5266666666666
2019-08-15,3146.820769230769
2019-09-15,3088.2383333333332
2019-10-15,3098.4054545454546
2019-11-15,3228.2690909090907
2019-12-15,3154.3458333333333
2020-01-15,3206.2714285714287
2020-02-15,3290.5914285714284
2020-03-15,3051.74
2020-04-15,4188.917272727273
2020-05-15,4022.4758333333334
2020-06-15,3580.397692307692
2020-07-15,3390.7736363636363
2020-08-15,3399.38
2020-09-15,3535.0914285714284
2020-10-15,3275.023846153846
2020-11-15,3014.9215384615386
2020-12-15,2747.319
2021-01-15,2869.8333333333335
2021-02-15,2401.1745454545453
2021-03-15,3104.986923076923
2021-04-15,2915.2000000000003
2021-05-15,3210.2165
2021-06-15,2581.779523809524
2021-07-15,2499.441363636364
2021-08-15,2348.474347826087
2021-09-15,2442.7830000000004
2021-10-15,2202.8631818181816
2021-11-15,2205.2672000000002
2021-12-15,2255.6580000000004
