date,price
2017-02-15,1291.6666666666667
2017-03-15,1336.5
2017-04-15,1812.5
2017-05-15,2053.0
2017-06-15,2117.0
2017-07-15,1325.0
2017-08-15,1029.0
2017-09-15,1245.8333333333333
2017-10-15,1206.6666666666665
2017-11-15,1167.5
2017-12-15,1200.0
2018-01-15,1200.0
2018-02-15,1200.0
2018-03-15,1166.6666666666667
2018-04-15,1233.3333333333333
2018-05-15,1066.6666666666667
2018-06-15,1105.0
2018-07-15,1012.1
2018-08-15,919.2
2018-09-15,826.3
2018-10-15,733.4
2018-11-15,696.3181818181819
2018-12-15,738.8571428571429
2019-01-15,882.0
2019-02-15,958.1818181818181
2019-03-15,1044.142857142857
2019-04-15,1171.09375
2019-05-15,1450.0
2019-06-15,1414.7418181818182
2019-07-15,1358.875
2019-08-15,1397.6577777777777
2019-09-15,1365.15
2019-10-15,1170.37
2019-11-15,1396.4285714285713
2019-12-15,1339.2857142857142
2020-01-15,1160.6063636363635
2020-02-15,1041.6666666666667
2020-03-15,1090.4166666666667
2020-04-15,1139.1666666666667
2020-05-15,1105.5555555555557
2020-06-15,1114.125
2020-07-15,1064.2222222222222
2020-08-15,1064.4444444444443
2020-09-15,937.375
2020-10-15,985.8
2020-11-15,917.0833333333334
2020-12-15,915.578947368421
2021-01-15,817.8888888888889
2021-02-15,796.1
2021-03-15,833.3
2021-04-15,842.1111111111111
2021-05-15,876.3076923076923
2021-06-15,1055.5263157894738
2021-07-15,1038.2
2021-08-15,982.3809523809524
2021-09-15,1116.6315789473683
2021-10-15,1082.7058823529412
2021-11-15,1163.2105263157894
2021-12-15,1084.6470588235295
